transaction_id,created_at,country,amount,psp_name,routing_region,payment_method,auth_status,decline_code
1,2024/1/1 00:00,BR,161.81,Adyen,EU,PIX,Approved,
2,2024/1/1 01:00,DE,179.38,Stripe,EU,VISA,Approved,
3,2024/1/1 02:00,US,10.24,Stripe,NA,MASTERCARD,Approved,
4,2024/1/1 03:00,US,163.79,Checkout,APAC,VISA,Approved,
5,2024/1/1 04:00,IN,78.99,Adyen,APAC,VISA,Approved,
6,2024/1/1 05:00,IN,85.2,Checkout,EU,VISA,Declined,51
7,2024/1/1 06:00,IN,26.2,Stripe,EU,UPI,Approved,
8,2024/1/1 07:00,SG,129.05,Adyen,NA,MASTERCARD,Approved,
9,2024/1/1 08:00,US,341.48,Stripe,EU,VISA,Approved,
10,2024/1/1 09:00,US,53.64,Stripe,NA,MASTERCARD,Approved,
11,2024/1/1 10:00,IN,191,Stripe,NA,VISA,Declined,5
12,2024/1/1 11:00,DE,82.84,Adyen,NA,MASTERCARD,Approved,
13,2024/1/1 12:00,SG,55.46,Adyen,EU,VISA,Approved,
14,2024/1/1 13:00,IN,21.36,Stripe,APAC,UPI,Approved,
15,2024/1/1 14:00,IN,209.35,Adyen,NA,UPI,Approved,
16,2024/1/1 15:00,IN,90.71,Stripe,APAC,UPI,Approved,
17,2024/1/1 16:00,BR,57.87,Stripe,NA,PIX,Approved,
18,2024/1/1 17:00,BR,66.06,Stripe,EU,VISA,Approved,
19,2024/1/1 18:00,BR,136.36,Adyen,NA,PIX,Approved,
20,2024/1/1 19:00,IN,57.79,Checkout,NA,UPI,Approved,
21,2024/1/1 20:00,US,36.72,Checkout,APAC,VISA,Declined,201
22,2024/1/1 21:00,IN,76.21,Adyen,EU,UPI,Declined,51
23,2024/1/1 22:00,IN,74.4,Adyen,NA,VISA,Declined,51
24,2024/1/1 23:00,BR,73.13,Stripe,EU,PIX,Declined,201
25,2024/1/2 00:00,BR,58.43,Stripe,APAC,PIX,Declined,59
26,2024/1/2 01:00,SG,195.44,Checkout,EU,VISA,Approved,
27,2024/1/2 02:00,IN,422.4,Stripe,EU,UPI,Declined,5
28,2024/1/2 03:00,BR,32.68,Checkout,APAC,PIX,Approved,
29,2024/1/2 04:00,US,8.31,Checkout,NA,MASTERCARD,Approved,
30,2024/1/2 05:00,IN,69.05,Adyen,NA,VISA,Approved,
31,2024/1/2 06:00,US,9.7,Adyen,EU,VISA,Approved,
32,2024/1/2 07:00,IN,19.19,Adyen,NA,UPI,Declined,5
33,2024/1/2 08:00,IN,54.43,Checkout,APAC,VISA,Approved,
34,2024/1/2 09:00,DE,135.67,Adyen,EU,VISA,Approved,
35,2024/1/2 10:00,DE,68.42,Checkout,EU,VISA,Approved,
36,2024/1/2 11:00,SG,5.57,Adyen,NA,VISA,Approved,
37,2024/1/2 12:00,BR,67.71,Checkout,NA,VISA,Declined,51
38,2024/1/2 13:00,IN,71.79,Stripe,NA,VISA,Approved,
39,2024/1/2 14:00,US,72.74,Stripe,EU,VISA,Approved,
40,2024/1/2 15:00,BR,176.25,Checkout,NA,PIX,Declined,51
41,2024/1/2 16:00,IN,156.62,Checkout,EU,VISA,Declined,59
42,2024/1/2 17:00,BR,88.08,Stripe,NA,VISA,Approved,
43,2024/1/2 18:00,IN,299.24,Checkout,EU,VISA,Declined,59
44,2024/1/2 19:00,DE,54.31,Checkout,EU,MASTERCARD,Approved,
45,2024/1/2 20:00,IN,75.43,Stripe,EU,VISA,Approved,
46,2024/1/2 21:00,US,81.77,Checkout,NA,VISA,Approved,
47,2024/1/2 22:00,BR,21.11,Adyen,NA,PIX,Declined,201
48,2024/1/2 23:00,BR,83.09,Stripe,APAC,PIX,Approved,
49,2024/1/3 00:00,BR,17.07,Adyen,EU,PIX,Approved,
50,2024/1/3 01:00,IN,47.37,Checkout,NA,VISA,Approved,
51,2024/1/3 02:00,DE,91.1,Checkout,APAC,MASTERCARD,Declined,5
52,2024/1/3 03:00,SG,24.85,Adyen,APAC,MASTERCARD,Approved,
53,2024/1/3 04:00,DE,106.51,Checkout,NA,MASTERCARD,Approved,
54,2024/1/3 05:00,SG,41.06,Checkout,EU,VISA,Approved,
55,2024/1/3 06:00,US,61.89,Adyen,APAC,MASTERCARD,Approved,
56,2024/1/3 07:00,DE,120.31,Checkout,APAC,VISA,Declined,59
57,2024/1/3 08:00,IN,78.14,Stripe,EU,VISA,Approved,
58,2024/1/3 09:00,IN,104.72,Adyen,NA,UPI,Approved,
59,2024/1/3 10:00,IN,115.04,Adyen,EU,UPI,Approved,
60,2024/1/3 11:00,BR,77.15,Adyen,EU,PIX,Approved,
61,2024/1/3 12:00,BR,109.15,Adyen,NA,PIX,Approved,
62,2024/1/3 13:00,IN,46.69,Stripe,APAC,UPI,Approved,
63,2024/1/3 14:00,SG,119.25,Adyen,EU,VISA,Approved,
64,2024/1/3 15:00,BR,69.4,Adyen,APAC,PIX,Approved,
65,2024/1/3 16:00,IN,198.86,Checkout,APAC,VISA,Approved,
66,2024/1/3 17:00,BR,92.54,Adyen,APAC,VISA,Approved,
67,2024/1/3 18:00,IN,52.61,Checkout,NA,VISA,Approved,
68,2024/1/3 19:00,SG,120.75,Adyen,APAC,MASTERCARD,Approved,
69,2024/1/3 20:00,IN,204.71,Adyen,EU,UPI,Approved,
70,2024/1/3 21:00,DE,56.7,Stripe,EU,MASTERCARD,Approved,
71,2024/1/3 22:00,SG,48.98,Checkout,EU,VISA,Declined,59
72,2024/1/3 23:00,IN,2.83,Stripe,NA,UPI,Approved,
73,2024/1/4 00:00,IN,92.37,Checkout,EU,VISA,Declined,51
74,2024/1/4 01:00,SG,64,Adyen,NA,VISA,Approved,
75,2024/1/4 02:00,US,120.39,Stripe,APAC,VISA,Declined,51
76,2024/1/4 03:00,US,122.26,Checkout,APAC,MASTERCARD,Approved,
77,2024/1/4 04:00,SG,22.14,Checkout,NA,MASTERCARD,Approved,
78,2024/1/4 05:00,IN,156.14,Stripe,NA,VISA,Approved,
79,2024/1/4 06:00,BR,43.02,Checkout,NA,PIX,Approved,
80,2024/1/4 07:00,IN,56.96,Adyen,APAC,VISA,Approved,
81,2024/1/4 08:00,SG,106.96,Checkout,NA,MASTERCARD,Declined,14
82,2024/1/4 09:00,US,30.64,Adyen,APAC,MASTERCARD,Approved,
83,2024/1/4 10:00,BR,49.42,Checkout,APAC,VISA,Approved,
84,2024/1/4 11:00,IN,27.95,Stripe,EU,UPI,Approved,
85,2024/1/4 12:00,BR,165.57,Adyen,APAC,PIX,Approved,
86,2024/1/4 13:00,BR,61.09,Checkout,NA,VISA,Declined,59
87,2024/1/4 14:00,US,25.31,Adyen,NA,MASTERCARD,Approved,
88,2024/1/4 15:00,US,27.16,Stripe,NA,VISA,Approved,
